Crack_ID,x,y,z,original file
1,572285.019,4498583.9735,34.5085,output\3sections - 170 - 253_COMPONENT_1.las
2,572283.855,4498585.205,35.1875,output\3sections - 170 - 253_COMPONENT_2.las
3,572286.26,4498586.056,35.423,output\3sections - 170 - 253_COMPONENT_3.las
4,572285.718,4498585.4825,36.651,output\3sections - 170 - 253_COMPONENT_4.las
5,572281.245,4498584.869,35.906000000000006,output\3sections - 170 - 253_COMPONENT_5.las
6,572278.0425,4498585.91,37.004000000000005,output\3sections - 170 - 253_COMPONENT_6.las
7,572279.443,4498588.234999999,37.105999999999995,output\3sections - 170 - 253_COMPONENT_7.las
8,572279.1725,4498590.463500001,37.459,output\3sections - 170 - 253_COMPONENT_8.las
9,572276.8025,4498586.852,37.704499999999996,output\3sections - 170 - 253_COMPONENT_9.las
10,572286.9169999999,4498588.728,37.802,output\3sections - 170 - 253_COMPONENT_10.las
11,572279.0815,4498592.3485,38.298,output\3sections - 170 - 253_COMPONENT_11.las
12,572278.2045,4498589.4445,39.839,output\3sections - 170 - 253_COMPONENT_12.las
13,572278.8685,4498591.4215,38.856,output\3sections - 170 - 253_COMPONENT_13.las
14,572288.1375,4498587.2445,40.535,output\3sections - 170 - 253_COMPONENT_14.las
15,572288.4114999999,4498589.007999999,40.819500000000005,output\3sections - 170 - 253_COMPONENT_15.las
