Name;Points;meanX;meanY;meanZ;SF#1 name;SF#1 valid values;SF#1 mean;SF#1 std.dev.;SF#1 sum;SF#2 name;SF#2 valid values;SF#2 mean;SF#2 std.dev.;SF#2 sum;SF#3 name;SF#3 valid values;SF#3 mean;SF#3 std.dev.;SF#3 sum;SF#4 name;SF#4 valid values;SF#4 mean;SF#4 std.dev.;SF#4 sum;
CC#0;572;5.11601;-4.34737;37.1165;Return Number;572;1;0;572;Number Of Returns;572;1;0;572;User Data;572;2.25;0.613442;1287;R;572;0;0;0;
CC#1;369;-3.57871;-0.496642;39.2963;Return Number;369;1;0;369;Number Of Returns;369;1;0;369;User Data;369;2.59621;0.90592;958;R;369;0;0;0;
CC#2;301;2.05972;-5.2334;35.1377;Return Number;301;1;0;301;Number Of Returns;301;1;0;301;User Data;301;2.3887;0.614124;719;R;301;0;0;0;
CC#3;136;6.13921;-3.00113;40.5595;Return Number;136;1;0;136;Number Of Returns;136;1;0;136;User Data;136;2.00735;0.0854335;273;R;136;0;0;0;
CC#4;116;4.19303;-4.15273;35.4128;Return Number;116;1;0;116;Number Of Returns;116;1;0;116;User Data;116;2.2069;0.445615;256;R;116;0;0;0;
CC#5;76;-2.75047;-1.67743;37.0667;Return Number;76;1;0;76;Number Of Returns;76;1;0;76;User Data;76;2.35526;0.663006;179;R;76;0;0;0;
CC#6;75;4.95253;-1.30563;38.025;Return Number;75;1;0;75;Number Of Returns;75;1;0;75;User Data;75;2.21333;0.497817;166;R;75;0;0;0;
CC#7;70;-3.12713;1.44331;38.9022;Return Number;70;1;0;70;Number Of Returns;70;1;0;70;User Data;70;2.41429;0.492598;169;R;70;0;0;0;
CC#8;57;6.40984;-1.01081;40.85;Return Number;57;1;0;57;Number Of Returns;57;1;0;57;User Data;57;2;0;114;R;57;0;0;0;
CC#9;50;-4.04256;-4.18644;36.9377;Return Number;50;1;0;50;Number Of Returns;50;1;0;50;User Data;50;2.14;0.346987;107;R;50;0;0;0;
CC#10;47;-2.91589;2.36509;38.2909;Return Number;47;1;0;47;Number Of Returns;47;1;0;47;User Data;47;2.59574;0.607036;122;R;47;0;0;0;
CC#11;45;-2.87691;0.351311;37.4602;Return Number;45;1;0;45;Number Of Returns;45;1;0;45;User Data;45;2.08889;0.284583;94;R;45;0;0;0;
CC#12;29;-5.21893;-3.15497;37.7049;Return Number;29;1;0;29;Number Of Returns;29;1;0;29;User Data;29;2;0;58;R;29;0;0;0;
CC#13;22;3.00214;-6.03318;34.5135;Return Number;22;1;0;22;Number Of Returns;22;1;0;22;User Data;22;2;0;44;R;22;0;0;0;
CC#14;21;-0.771905;-5.12848;35.911;Return Number;21;1;0;21;Number Of Returns;21;1;0;21;User Data;21;2.2381;0.425918;47;R;21;0;0;0;
